"ZIPCODE","state","Total.population","TRI"
35053,"AL",0.2966,6.7821211507
35055,"AL",2.0276,4.1058006246
35057,"AL",1.2943,6.2949530308
35058,"AL",0.9897,4.0850921522
35070,"AL",0.0252,9.0084175084
35077,"AL",1.1991,6.3793269084
35083,"AL",0.3629,3.9289747773
35087,"AL",0.1459,4.4018345834
35098,"AL",0.1548,6.8567587752
35179,"AL",0.9177,5.9716240384
36311,"AL",0.3116,4.3336060209
36322,"AL",0.8671,2.5726140684
36350,"AL",0.6384,3.7784524957
36352,"AL",0.5307,3.6994205576
36360,"AL",1.9775,4.2423625321
36362,"AL",0.4996,4.0854997578
36371,"AL",0.054,2.9097022587
36374,"AL",0.0907,4.565348878
36701,"AL",2.2489,3.6208942587
36703,"AL",1.4218,3.0415946169
36758,"AL",0.1941,6.283996794
36759,"AL",0.1387,1.2932738052
36761,"AL",0.0914,3.7531889965
36767,"AL",0.1916,1.5184057516
36773,"AL",0.0737,1.8993560696
36775,"AL",0.0819,2.7176217622
35961,"AL",0.6459,7.6859310469
35962,"AL",0.9189,2.8873483916
35963,"AL",0.1836,2.7345382192
35967,"AL",1.6543,7.2729461496
35968,"AL",0.3804,4.9627534434
35971,"AL",0.5344,2.8325060778
35974,"AL",0.1437,2.5403859588
35975,"AL",0.0956,7.3771228938
35978,"AL",0.5661,3.2694179714
35981,"AL",0.2842,3.1239835383
35984,"AL",0.1946,6.9254381297
35986,"AL",0.7205,2.8574918567
35988,"AL",0.2034,3.074925401
35989,"AL",0.316,8.2050120773
36020,"AL",0.095,1.281993737
36022,"AL",1.1409,4.0593990697
36024,"AL",0.5032,3.7501635016
36025,"AL",0.7503,1.6714647264
36054,"AL",1.5648,2.510407178
36078,"AL",1.3682,4.4969987599
36080,"AL",0.2424,4.4947997548
36092,"AL",1.9611,3.1531004737
36093,"AL",1.0307,4.4147922656
36426,"AL",1.5327,2.9042545433
36441,"AL",0.3681,2.5669639262
36502,"AL",1.9049,2.4575351675
36543,"AL",0.0149,0.5504032258
35901,"AL",2.0216,6.197590863
35903,"AL",1.7316,2.4313673631
35904,"AL",1.4071,6.8064015302
35905,"AL",0.673,8.4475065978
35906,"AL",1.0103,3.1626137482
35907,"AL",0.8388,4.6664433561
