"ZIPCODE","state","Total.population","TRI"
83851,"ID",0.1578,9.3422067662
83861,"ID",0.6381,18.0319461246
83866,"ID",0.008,17.0551606298
83870,"ID",0.0315,12.2478309039
83203,"ID",0.0346,0.6091481481
83210,"ID",0.3175,1.0278113258
83215,"ID",0.0022,0.5875
83218,"ID",0.0339,0.4407216495
83221,"ID",2.7332,1.816772656
83236,"ID",0.188,11.5526066024
83262,"ID",0.113,1.2005537277
83274,"ID",0.9471,3.8824548393
83277,"ID",0.0338,1.0661104606
83313,"ID",0.3716,11.5494975721
83320,"ID",0.0942,17.7400942206
83333,"ID",1.103,26.8806607901
83340,"ID",0.4039,29.8665210902
83348,"ID",0.0078,7.2257125345
83353,"ID",0.1316,17.6624766137
83354,"ID",0.0013,4.025
83602,"ID",0.0026,26.6491433872
83622,"ID",0.1468,26.8783540797
83629,"ID",0.1642,20.9546741903
83631,"ID",0.1123,22.0786069343
83637,"ID",0.0301,34.3539876117
83666,"ID",0.0026,17.1130158399
83804,"ID",0.1278,14.8678921743
83809,"ID",0.0389,15.797436751
83811,"ID",0.1292,27.2211784241
83813,"ID",0.0852,14.9748262502
83821,"ID",0.0354,6.1609841828
83822,"ID",0.2294,11.8730470899
83825,"ID",0.0421,1.4791666667
83836,"ID",0.0936,25.8800979657
83840,"ID",0.0196,0.35
83841,"ID",0.0177,13.4077732644
83848,"ID",0.0217,17.5166727787
83852,"ID",0.0896,1.9423076923
83856,"ID",0.6259,13.8645773947
83860,"ID",0.5322,10.6506510447
83864,"ID",1.7798,19.0098518877
83401,"ID",4.0134,2.9105753178
83402,"ID",2.5711,1.4120067309
83404,"ID",2.1993,1.6800128729
83406,"ID",1.6028,7.8990212988
83427,"ID",0.1628,0.3310810811
83428,"ID",0.0324,29.9450760693
83449,"ID",0.019,17.6719572905
83454,"ID",0.0537,0.3304597701
83805,"ID",0.7721,22.5465683147
83845,"ID",0.1777,19.0771076713
83847,"ID",0.1405,17.3488560241
83213,"ID",0.1595,7.3047557646
83244,"ID",0.022,17.3317268056
83255,"ID",0.1183,18.8765175719
83322,"ID",0.0042,5.8638094258
83327,"ID",0.1031,20.0844117509
83337,"ID",0.0026,9.1439328856
83605,"ID",4.046,0.9033542297
83607,"ID",2.2687,2.6971818659
83626,"ID",0.1278,2.1216194969
83641,"ID",0.3818,5.3897138328
83644,"ID",1.0086,2.9011062655
83651,"ID",3.0204,0.9205601093
83656,"ID",0.0568,1.3522727273
83660,"ID",0.6323,2.3414490689
83676,"ID",0.4366,1.9926819812
83686,"ID",4.7239,2.2853899807
83687,"ID",3.033,0.9710788297
83217,"ID",0.0782,9.205306466
83241,"ID",0.2042,11.6850967192
83276,"ID",0.3946,9.7782801086
83285,"ID",0.0213,14.0386502432
83311,"ID",0.0424,13.3462463054
83312,"ID",0.0212,8.819511703
83318,"ID",1.7404,2.8156670752
83323,"ID",0.1986,4.0834985878
83342,"ID",0.1633,11.7755509914
83346,"ID",0.1553,10.6981137701
83423,"ID",0.0762,7.7695696851
83446,"ID",0.0032,12.7067382085
83520,"ID",0.0119,17.8461538462
83541,"ID",0.0951,15.4684542734
83544,"ID",0.5856,17.7500864426
83546,"ID",0.0708,13.7481745162
83553,"ID",0.1198,7.2435279463
83827,"ID",0.0158,12.5051710422
83226,"ID",0.2345,29.1987222925
83227,"ID",0.0236,29.4017490864
83235,"ID",0.003,29.7762167904
83251,"ID",0.1236,23.7020252206
83278,"ID",0.0151,29.3783781678
83601,"ID",0.0042,34.2249650372
83623,"ID",0.1582,9.9270328952
83627,"ID",0.0458,5.2665299768
83633,"ID",0.0324,7.930318173
83647,"ID",2.0588,18.5827709208
83648,"ID",0.3133,0.4687880633
83228,"ID",0.0686,16.7076351101
83232,"ID",0.0505,3.6572224558
83237,"ID",0.1337,11.5313883764
83263,"ID",0.8848,15.4090053088
83283,"ID",0.0172,18.5789945344
83286,"ID",0.1305,7.9243599247
83420,"ID",0.2442,6.3514362107
83421,"ID",0.0318,2.0624827491
83429,"ID",0.0903,8.3917089534
83433,"ID",7e-04,2.8925855513
83436,"ID",0.0425,5.4984271665
83445,"ID",0.6669,1.7362606739
83451,"ID",0.0954,1.4904181185
83617,"ID",1.5291,9.1532771837
83636,"ID",0.0072,0.5175953079
83657,"ID",0.0223,16.0196691884
83670,"ID",0.057,13.8043607801
83314,"ID",0.0967,4.9979506713
83330,"ID",0.6646,1.3667725023
83332,"ID",0.2836,4.2744044125
83355,"ID",0.4729,1.8284087684
83522,"ID",0.2252,23.9376737019
83525,"ID",0.0425,22.2457582262
83526,"ID",0.0347,6.8840116279
83530,"ID",0.5757,15.2604863689
83533,"ID",0.0124,6.2320643106
83539,"ID",0.2149,30.0089290248
83542,"ID",0.0207,33.0282139228
83547,"ID",0.0178,28.3912423089
83549,"ID",0.0777,35.3160097775
83552,"ID",0.1033,18.8048785961
83554,"ID",0.0582,29.6627272727
83671,"ID",0.001,29.2806929662
83425,"ID",0.0812,0.8554113186
83431,"ID",0.0902,0.7425431711
83434,"ID",0.1822,1.9970938247
83435,"ID",0.0416,0.5853696515
83442,"ID",1.9593,0.3748603652
83443,"ID",0.1138,16.2272589053
83444,"ID",0.1298,1.2233548858
83450,"ID",0.1087,0.4121675309
83325,"ID",0.076,3.144830105
83335,"ID",0.2124,1.6760167677
83338,"ID",1.9805,1.6722751781
83801,"ID",0.5852,10.7707791716
83803,"ID",0.0588,15.9616042046
83810,"ID",0.1262,21.6829763811
83814,"ID",2.5463,17.2901924803
83815,"ID",3.1689,5.2205400982
83833,"ID",0.107,15.0078461185
83835,"ID",2.0341,18.0657110512
83842,"ID",0.0155,20.7412511131
83854,"ID",3.818,8.7171633013
83858,"ID",1.3918,12.2613735715
83869,"ID",0.4365,10.1293457412
83876,"ID",0.1613,8.3572637847
83535,"ID",0.1184,20.3951179878
83537,"ID",0.1078,13.488741741
83806,"ID",0.0258,12.0822688275
83823,"ID",0.1282,11.0286151571
83832,"ID",0.1487,8.7617855253
83834,"ID",0.0285,16.056507769
83843,"ID",2.6071,8.8602962221
83844,"ID",0.1556,2.921875
83855,"ID",0.2168,9.8284467939
83857,"ID",0.0743,11.0373612106
83871,"ID",0.2104,9.4255144033
83872,"ID",0.0578,11.1616365397
83253,"ID",0.0112,18.8654793011
83462,"ID",0.058,24.247401437
83463,"ID",0.0132,30.2046729603
83464,"ID",0.045,18.2942722364
83465,"ID",0.0115,22.8590745771
83466,"ID",0.0242,32.7589195557
83467,"ID",0.6043,24.3040505353
83468,"ID",0.0139,22.5447371623
83469,"ID",0.0039,31.2103584152
83523,"ID",0.0675,10.111528016
83536,"ID",0.4127,17.8024789076
83543,"ID",0.0753,10.5701802043
83548,"ID",0.013,10.8284044501
83555,"ID",0.0472,16.1675413456
83324,"ID",0.0753,1.3102518821
83349,"ID",0.1158,1.7136238225
83352,"ID",0.3369,2.2795209114
83440,"ID",3.5732,1.1358972125
83448,"ID",0.249,1.8066921412
83460,"ID",0.067,4.1577868852
83336,"ID",0.4921,0.9915843924
83347,"ID",0.3494,1.2071214465
83350,"ID",1.1991,0.8763548823
83501,"ID",3.4406,22.0698172573
83524,"ID",0.1034,15.9252989263
83540,"ID",0.2379,15.0450023089
83545,"ID",0.054,18.890234008
83243,"ID",0.0092,8.0692775255
83252,"ID",0.4149,12.236971008
83604,"ID",0.0774,5.6638531123
83624,"ID",0.1161,4.451634707
83628,"ID",0.4447,5.5337841247
83639,"ID",0.3041,11.8598155951
83650,"ID",0.0585,11.0973393439
83619,"ID",0.7339,2.5043909947
83655,"ID",0.4427,2.1271216769
83661,"ID",0.9427,9.6210443576
83211,"ID",0.6071,5.4074327495
83212,"ID",0.0174,12.8923793076
83271,"ID",0.0536,14.3152378794
83802,"ID",0.0217,30.4170286895
83808,"ID",0.014,29.7115775874
83812,"ID",0.0087,15.7078555046
83837,"ID",0.3168,32.5758828514
83839,"ID",0.1105,26.2025138226
83846,"ID",0.0668,34.1001650362
83849,"ID",0.1763,30.6250726322
83850,"ID",0.2098,33.0861278829
83867,"ID",0.0653,30.6247895623
83868,"ID",0.0802,25.6777853526
83873,"ID",0.1738,32.8032672266
83874,"ID",0.0089,36.1074445392
83422,"ID",0.3517,8.8881119405
83424,"ID",0.0092,7.1565165062
83452,"ID",0.1497,5.6406638375
83455,"ID",0.5106,15.5120379081
83301,"ID",5.3582,3.5816630454
83302,"ID",0.0121,5.7008336031
83316,"ID",0.9593,3.429358918
83321,"ID",0.0495,4.0618232746
83328,"ID",0.5136,2.7860921917
83334,"ID",0.2034,7.7677943534
83341,"ID",0.6973,7.6234207621
83344,"ID",0.106,3.9620255989
83611,"ID",0.2993,28.0292374534
83615,"ID",0.107,7.320002517
83638,"ID",0.5517,18.2269070548
83677,"ID",0.0115,33.2933047771
83610,"ID",0.0896,18.8598746609
83645,"ID",0.0515,9.7386260557
83672,"ID",0.8628,15.3814574093
62301,"IL",3.3024,2.4288175553
62305,"IL",1.8853,2.3581181728
62320,"IL",0.2058,2.4715285266
62324,"IL",0.1108,2.8576262993
62325,"IL",0.0407,2.3618403063
62338,"IL",0.1134,2.9263833992
62339,"IL",0.0996,0.7769188023
62346,"IL",0.0184,1.6538473678
62347,"IL",0.2457,3.1351233024
62348,"IL",0.0162,2.7928832117
62349,"IL",0.0475,2.3719927154
62351,"IL",0.1933,3.03092347
62359,"IL",0.026,2.2707006369
62360,"IL",0.2013,2.9961423445
62365,"IL",0.0797,3.3715792692
62376,"IL",0.1116,1.4611591044
62914,"IL",0.2969,0.7665965922
62957,"IL",0.1085,2.5078567877
62962,"IL",0.0087,0.5609469127
62969,"IL",0.0596,1.5738239523
62988,"IL",0.1988,5.0335132623
62990,"IL",0.1079,6.5590586589
62086,"IL",0.1543,1.9924254865
62246,"IL",1.0145,1.5306209446
62262,"IL",0.1834,1.6321033747
62273,"IL",0.0471,0.7007450331
62275,"IL",0.3435,1.2195106328
62284,"IL",0.0587,1.0480575372
61008,"IL",3.4786,1.38895249
61011,"IL",0.2023,1.8518151726
61012,"IL",0.2496,1.2762694536
61038,"IL",0.1036,0.9365980373
61065,"IL",1.1011,1.3258206565
62353,"IL",0.5343,3.9787856996
62375,"IL",0.0531,2.6058142311
62378,"IL",0.0998,4.1113583652
61312,"IL",0.051,0.9808049628
61314,"IL",0.0852,1.6122517445
61315,"IL",0.0237,3.0909722222
61317,"IL",0.0455,0.8001592357
61320,"IL",0.0719,4.0311111111
61322,"IL",0.1615,2.4745428096
61323,"IL",0.0114,0.8244680851
61328,"IL",0.0014,0.4809322034
61329,"IL",0.13,1.3834106729
61330,"IL",0.139,1.2904294012
61337,"IL",0.0534,1.372528699
61338,"IL",0.033,1.309352518
61344,"IL",0.0288,0.8640079634
61345,"IL",0.0806,2.2500747735
61346,"IL",0.0073,1.3918918919
61349,"IL",0.0873,1.5006484059
61356,"IL",1.0837,1.938441473
61359,"IL",0.0329,3.4705188679
61361,"IL",0.1295,1.1790722762
61362,"IL",0.5675,2.2641993328
61368,"IL",0.1397,2.6660647253
61374,"IL",0.0129,1.3875925926
61376,"IL",0.2579,1.3364537684
61379,"IL",0.1661,1.7782804286
62006,"IL",0.0648,4.7520266358
62013,"IL",0.0486,2.5617355015
62036,"IL",0.0715,4.7564182534
62045,"IL",0.0417,6.5967247755
62047,"IL",0.1732,8.5412696591
62053,"IL",0.0639,8.3041170498
62065,"IL",0.0098,6.5332827019
62070,"IL",0.0023,7.5089285714
61014,"IL",0.1169,2.743721279
61046,"IL",0.2853,3.0353506364
61051,"IL",0.1567,2.2852085429
61053,"IL",0.2959,4.5997593895
61074,"IL",0.4289,4.809301194
61078,"IL",0.1337,2.2826110588
61285,"IL",0.1566,2.0038390189
62611,"IL",0.1196,2.1291127331
62612,"IL",0.1718,1.0602632955
62618,"IL",0.7998,1.0902733708
62627,"IL",0.1068,1.8670896429
62691,"IL",0.208,2.2911070834
60949,"IL",0.0678,0.7438476398
61801,"IL",3.13,0.9449717286
61802,"IL",1.9084,0.6785429322
61815,"IL",0.0253,0.2857142857
61816,"IL",0.0512,0.4620794879
61820,"IL",3.6092,0.9551220295
61821,"IL",3.0757,0.7692581012
61822,"IL",2.359,0.7015519066
61840,"IL",0.0846,0.6780726257
61843,"IL",0.221,0.6214094856
61845,"IL",0.045,0.5673400673
61847,"IL",0.125,0.8606971975
61849,"IL",0.1734,0.6251935983
61851,"IL",0.0324,0.2315676114
61852,"IL",0.0289,0.3720798183
61853,"IL",1.3453,1.1721818022
61859,"IL",0.1289,0.4316892261
61862,"IL",0.0465,0.8972846738
61863,"IL",0.0677,0.3488595677
61864,"IL",0.1855,0.7558516638
61866,"IL",1.4195,0.7200721026
61871,"IL",0.0254,0.3514492754
61872,"IL",0.1091,0.3961217028
61873,"IL",0.6341,0.5449313856
61874,"IL",0.7504,0.4925768823
61875,"IL",0.0683,0.6379588544
61877,"IL",0.1773,0.8754761542
61878,"IL",0.1432,0.5125114609
61880,"IL",0.4028,0.4454241545
62083,"IL",0.0271,1.2308650864
62510,"IL",0.1898,0.5896071208
62517,"IL",0.0291,0.7708333333
62531,"IL",0.1851,0.9234255047
62540,"IL",0.1666,1.0419103314
62546,"IL",0.1383,0.5575978085
62547,"IL",0.0875,1.0002948718
62550,"IL",0.2822,0.6970471771
62555,"IL",0.0454,0.7511040532
62556,"IL",0.0331,0.7987254115
62557,"IL",0.7026,1.1124715556
62567,"IL",0.1127,0.4238918044
62568,"IL",1.6417,0.839573181
62570,"IL",0.0483,0.9058219178
62420,"IL",0.4551,0.9732171004
62423,"IL",0.0686,2.0698229514
62441,"IL",0.7419,2.1740563599
62442,"IL",0.2236,1.2875703106
62474,"IL",0.0984,1.324788489
62477,"IL",0.1033,1.3005104463
62434,"IL",0.0247,1.2721909195
62824,"IL",0.178,0.8513187487
62839,"IL",0.6617,1.0310945642
62858,"IL",0.321,1.0274699712
62879,"IL",0.0103,0.9308510638
62899,"IL",0.1598,1.2307427421
62215,"IL",0.1763,0.6620426216
62216,"IL",0.2847,1.0224912605
62218,"IL",0.1769,0.9258883966
62219,"IL",0.0957,0.6494755245
62230,"IL",0.6254,0.8525285802
62231,"IL",0.7358,0.8789064285
62245,"IL",0.1556,0.5578778135
62250,"IL",0.0551,0.1904761905
62253,"IL",0.0737,0.9328792034
62265,"IL",0.4531,0.5947850006
62266,"IL",0.0334,0.5024703557
62293,"IL",0.4677,1.160720823
61912,"IL",0.126,1.3470218904
61920,"IL",2.5959,1.6687619646
61931,"IL",0.1369,0.6347229712
61938,"IL",2.1898,0.6839905553
61943,"IL",0.1381,1.1425882874
62440,"IL",0.1345,1.1960080736
62469,"IL",0.0432,0.6629262673
60004,"IL",5.0222,0.7932997387
60005,"IL",3.0462,0.7287988651
60007,"IL",3.383,0.7906859931
60008,"IL",2.2402,0.8916139241
60016,"IL",6.1369,0.5734326625
60018,"IL",2.9027,0.659962406
60022,"IL",0.8383,1.1583419156
60025,"IL",3.9263,0.7446466809
60026,"IL",1.3775,0.5820473251
60029,"IL",0.0478,1.1244047619
60043,"IL",0.2648,0.6088129496
60053,"IL",2.3424,0.4559308072
60056,"IL",5.5617,0.6427123552
60062,"IL",4.0211,0.9207181088
60067,"IL",3.8303,1.5319132808
60068,"IL",3.7511,0.4640995947
60070,"IL",1.6033,0.6999434389
60074,"IL",3.901,0.9343607306
60076,"IL",3.2764,0.3496334877
60077,"IL",2.7822,0.3118434874
60090,"IL",3.7912,0.6415505226
60091,"IL",2.7345,0.3842221331
60093,"IL",1.9385,0.7011529126
60104,"IL",1.9081,0.5456730769
60107,"IL",4.1155,1.460817942
60130,"IL",1.4202,0.5077534039
60131,"IL",1.8103,0.4605704698
60133,"IL",3.8377,1.3972729516
60141,"IL",0.0157,0.1982323232
60153,"IL",2.4157,0.3318370166
60154,"IL",1.6839,0.7459157352
60155,"IL",0.7947,0.4171412301
60160,"IL",2.559,0.4188265787
60162,"IL",0.8139,1.5328863346
60163,"IL",0.5219,0.8220394737
60164,"IL",2.2287,0.657566638
60165,"IL",0.4959,0.2354651163
60169,"IL",3.4154,1.5999866239
60171,"IL",1.0305,0.5353817505
60173,"IL",1.2108,1.0620759837
60176,"IL",1.1842,0.6591088328
60192,"IL",1.6637,1.6929780876
60193,"IL",4.021,1.2648352888
60194,"IL",1.9596,1.3262595838
60195,"IL",0.4294,1.6402061856
60201,"IL",4.2722,0.6487202118
60202,"IL",3.256,0.6526998597
60203,"IL",0.446,0.2426035503
60301,"IL",0.2174,0.5641891892
60302,"IL",3.2137,0.322815534
60304,"IL",1.7677,0.3291223404
60305,"IL",1.1211,0.6619834711
60402,"IL",6.4256,0.3939125296
60406,"IL",2.5679,0.8042157585
60409,"IL",3.7463,0.6447547684
60411,"IL",5.8923,0.8601494886
60415,"IL",1.4358,0.6748188406
60419,"IL",2.2816,0.3978401192
60422,"IL",0.9132,1.1143100097
60425,"IL",0.9093,0.8284982935
60426,"IL",2.8801,0.3960032626
60428,"IL",1.2711,0.4931384248
60429,"IL",1.5746,1.036981441
60430,"IL",2.0565,0.9247115968
60438,"IL",2.8943,0.6008611691
60439,"IL",2.3209,2.3948026316
60443,"IL",2.1283,0.8599310094
60445,"IL",2.6122,0.6721471471
60452,"IL",2.8191,1.2263543517
60453,"IL",5.7012,0.3373768473
60455,"IL",1.656,0.4164201183
60456,"IL",0.4358,0.115625
60457,"IL",1.4117,2.0918330956
60458,"IL",1.4437,0.9819900143
60459,"IL",2.9087,0.0861519608
60461,"IL",0.4896,1.3480392157
60462,"IL",3.9041,1.5138457557
60463,"IL",1.4347,1.3749045073
60464,"IL",0.9512,2.2209525026
60465,"IL",1.761,1.5497594051
60466,"IL",2.2702,1.0525595621
60467,"IL",2.7314,1.7684489
60469,"IL",0.5934,0.4227777778
60471,"IL",1.4019,0.8733451015
60472,"IL",0.5252,0.6785714286
60473,"IL",2.2507,0.5481472452
60475,"IL",0.9697,1.1422566372
60476,"IL",0.2826,1.0664634146
60477,"IL",3.837,0.8815332451
60478,"IL",1.7106,1.1013540825
60480,"IL",0.519,2.3056216033
60482,"IL",1.104,0.9770797963
60487,"IL",2.6993,1.3026507782
60501,"IL",1.1971,1.5118337311
60513,"IL",1.9039,0.3347682119
60525,"IL",3.1675,1.6
60526,"IL",1.3613,0.5476190476
60534,"IL",1.065,1.4924879808
60546,"IL",1.5959,0.4364339019
60558,"IL",1.3066,1.2406850962
60601,"IL",1.0894,1.1908602151
60602,"IL",0.1429,0.1776315789
60603,"IL",0.1002,0.6756756757
60604,"IL",0.0419,0.4326923077
60605,"IL",2.5938,0.5495780591
60606,"IL",0.284,1.6316964286
60607,"IL",2.5927,0.4111060329
60608,"IL",7.8952,0.610855054
60609,"IL",6.2405,0.2610784837
60610,"IL",3.8482,0.2936151079
60611,"IL",3.0648,0.4765625
60612,"IL",3.5598,0.3201729911
60613,"IL",4.9292,0.3903769841
60614,"IL",6.8573,0.4185855263
60615,"IL",4.1141,0.2594660194
60616,"IL",4.9914,0.6381922675
60617,"IL",8.2685,0.5151343599
60618,"IL",9.623,0.3792752443
60619,"IL",6.4245,0.4209558824
60620,"IL",7.1907,0.4537833828
60621,"IL",3.2619,0.2272350993
60622,"IL",5.4607,0.1600913621
60623,"IL",8.7836,0.3691570881
60624,"IL",3.9706,0.2621158392
60625,"IL",7.8586,0.5528169014
60626,"IL",4.9237,0.9842171717
60628,"IL",6.9921,0.4936907021
60629,"IL",11.5013,0.2025809407
60630,"IL",5.6978,0.5431678383
60631,"IL",2.7995,0.4831194196
60632,"IL",9.1357,0.2598756906
60633,"IL",1.3065,1.0371794872
60634,"IL",7.3119,0.3322922719
60636,"IL",4.0164,0.2885526316
60637,"IL",4.8851,0.4415599268
60638,"IL",5.6812,0.2417043741
60639,"IL",9.2339,0.3069915254
60640,"IL",6.4599,0.4012923351
60641,"IL",7.246,0.26
60643,"IL",5.0957,0.6592776204
60644,"IL",4.9615,0.3566746126
60645,"IL",4.629,0.3305045872
60646,"IL",2.8367,0.5682226212
60647,"IL",8.7339,0.2099690083
60649,"IL",4.5201,0.2380110063
60651,"IL",6.0938,0.118623962
60652,"IL",4.2337,0.2407829329
60653,"IL",3.1038,0.2554657795
60654,"IL",1.6244,0.5334507042
60655,"IL",2.8022,0.4112440191
60656,"IL",2.8895,0.5686243719
60657,"IL",6.9444,0.279875717
60659,"IL",3.8788,0.3953665988
60660,"IL",4.138,0.5870689655
60661,"IL",0.8838,0.9339285714
60706,"IL",2.3259,0.3593304843
60707,"IL",4.2958,0.4883549528
60712,"IL",1.2653,0.1874015748
60714,"IL",3.0091,0.5635634817
60803,"IL",2.2991,0.7199212385
60804,"IL",8.4481,0.4788451304
60805,"IL",1.9924,0.3273522316
60827,"IL",2.8772,0.7328116266
62413,"IL",0.0371,0.985132615
62427,"IL",0.1619,2.0928630746
62433,"IL",0.0858,1.2955298013
62449,"IL",0.3065,0.8668978193
62451,"IL",0.222,1.3505996976
62454,"IL",1.1433,1.2876969473
62478,"IL",0.0406,1.4370519386
62428,"IL",0.3271,1.323221286
62436,"IL",0.0605,1.8333737393
62447,"IL",0.3215,0.9063602993
62468,"IL",0.261,1.1759375191
60111,"IL",0.0263,0.9429292929
60112,"IL",0.4652,0.6909526494
60115,"IL",4.6492,0.8454285861
60129,"IL",0.0164,0.7993293862
60135,"IL",0.7102,0.9615470154
60145,"IL",0.2506,1.4321646341
60146,"IL",0.2814,1.1734623623
60150,"IL",0.1509,0.865905738
60178,"IL",2.2054,0.9810310995
60520,"IL",0.2827,0.6764705882
60548,"IL",1.217,0.814917832
60550,"IL",0.1544,0.9560636137
60552,"IL",0.4465,0.8027409271
60556,"IL",0.1815,0.9800685641
61727,"IL",1.0161,1.2174013248
61735,"IL",0.0548,1.2509406612
61749,"IL",0.0549,0.7781241752
61750,"IL",0.0115,0.6434210526
61777,"IL",0.078,0.7740389707
61778,"IL",0.08,1.4363558961
61842,"IL",0.2856,0.6161444864
61882,"IL",0.068,0.5230963502
61910,"IL",0.4371,0.346155041
61911,"IL",0.5013,0.2897707893
61913,"IL",0.1549,0.4281037327
61919,"IL",0.1021,0.5397738303
61930,"IL",0.0435,0.7032110407
61941,"IL",0.002,0.278125
61942,"IL",0.1283,0.5105222665
61953,"IL",0.6209,0.4241171053
61956,"IL",0.2625,0.4627510806
60101,"IL",3.9709,1.0721843302
60103,"IL",4.2426,1.3933699324
60106,"IL",2.015,0.9159760589
60108,"IL",2.3105,1.5089334799
60126,"IL",4.6823,1.0766249533
60137,"IL",3.8418,1.6287138022
60139,"IL",3.5,1.428898243
60143,"IL",1.0198,1.0931871005
60148,"IL",5.2833,1.2937292484
60157,"IL",0.202,1.6822207084
60172,"IL",2.4695,1.3163235294
60181,"IL",2.8898,1.0151090343
60184,"IL",0.2424,1.2028149802
60185,"IL",3.6259,1.0295573091
60187,"IL",2.8544,1.2523277467
60188,"IL",4.2614,1.1550562927
60189,"IL",3.1631,1.3259794222
60190,"IL",1.0614,1.4692731278
60191,"IL",1.4389,0.935815732
60502,"IL",2.3099,0.8227326266
60503,"IL",1.7192,1.088335396
60504,"IL",3.7173,0.9453592814
60514,"IL",1.0187,1.5062751004
60515,"IL",2.8811,1.9485240191
60516,"IL",2.7565,1.3407614345
60517,"IL",3.2533,1.734839547
60519,"IL",0.0041,0.7291666667
60521,"IL",1.7678,1.6468185727
60523,"IL",0.9916,1.5403207716
60527,"IL",2.8372,1.8888111888
60532,"IL",2.7235,1.8368826461
60540,"IL",4.3514,1.1601610905
60555,"IL",1.3533,1.2056804907
60559,"IL",2.4752,1.2695808637
60561,"IL",2.3155,1.3931017613
60563,"IL",3.6554,0.9599144842
60565,"IL",4.0411,1.470651455
61917,"IL",0.0645,0.4507391657
61924,"IL",0.2473,0.9086583994
61932,"IL",0.0463,0.4471943888
61933,"IL",0.1237,1.0995421903
61940,"IL",0.0284,0.3518757594
61944,"IL",1.2194,1.3200933822
61949,"IL",0.0177,0.4972056632
61955,"IL",0.0186,0.4258474576
62476,"IL",0.1985,1.4295539142
62806,"IL",0.3275,1.8931851265
62815,"IL",0.0402,1.3266715116
62818,"IL",0.0297,0.6353869397
62833,"IL",0.0252,1.3113058824
62401,"IL",1.8673,1.6708950146
62411,"IL",0.4575,0.966360664
62414,"IL",0.1821,2.1702264992
62424,"IL",0.2222,0.9094859977
62426,"IL",0.1124,1.2820001833
62443,"IL",0.161,1.4554145766
62445,"IL",0.1225,1.2068356126
62461,"IL",0.0801,1.0358546963
62467,"IL",0.4001,0.8020572878
62473,"IL",0.1457,1.9503917728
62011,"IL",0.0277,1.565060241
62080,"IL",0.2569,1.946127451
62418,"IL",0.185,1.4251149102
62458,"IL",0.2227,1.0267273487
62471,"IL",0.9524,1.3246981891
62838,"IL",0.2021,1.0457484028
62880,"IL",0.0604,0.8528617144
62885,"IL",0.1048,0.8798544773
60919,"IL",0.0611,0.7129719264
60933,"IL",0.0273,0.9171747967
60936,"IL",0.4172,0.7840228006
60946,"IL",0.034,0.6431155901
60952,"IL",0.0655,0.5951098218
60957,"IL",0.5385,0.8354876803
60959,"IL",0.1084,0.3327459422
60962,"IL",0.0634,0.7478757999
61773,"IL",0.0553,0.8597258676
62812,"IL",1.1263,1.3156892094
62819,"IL",0.0517,1.166023166
62822,"IL",0.3025,1.1704545455
62825,"IL",0.0178,1.4713114754
62836,"IL",0.0732,1.5060743897
62856,"IL",0.031,2.0489130435
62865,"IL",0.1989,1.1135132463
62874,"IL",0.0458,2.7401026393
62884,"IL",0.2773,1.3457490432
62890,"IL",0.2888,2.0822275227
62891,"IL",0.061,1.52421875
62896,"IL",1.2247,1.1793536504
62897,"IL",0.0415,0.8973603487
62983,"IL",0.1285,0.9213292367
62999,"IL",0.187,1.376247505
61415,"IL",0.1655,2.2018586171
61427,"IL",0.2371,2.9203713481
61431,"IL",0.0502,3.4234483851
61432,"IL",0.0617,2.358619521
61441,"IL",0.1052,2.8113735616
61459,"IL",0.0443,3.4336092715
61477,"IL",0.0657,3.5779928982
61482,"IL",0.0534,3.0204175622
61484,"IL",0.0956,2.4870086609
61501,"IL",0.1846,3.4939910231
61519,"IL",0.0174,2.1823104693
61520,"IL",1.742,2.4577162109
61524,"IL",0.0263,0.95
61531,"IL",0.3375,1.8772403107
61542,"IL",0.3811,2.5974015196
61543,"IL",0.013,0.7795464701
61544,"IL",0.0648,2.9994842702
61553,"IL",0.0194,1.7214912281
61563,"IL",0.0512,3.0271084337
62867,"IL",0.0473,1.1188001002
62871,"IL",0.0727,1.068852459
62934,"IL",0.0998,4.06833286
62954,"IL",0.0417,2.9279252925
62979,"IL",0.1146,0.6455532868
62984,"IL",0.1917,1.9202809565
62016,"IL",0.3727,2.5077997918
62027,"IL",0.0476,2.5525757077
62044,"IL",0.2227,1.54964975
62050,"IL",0.0342,2.6127654312
62054,"IL",0.0694,2.0042675443
62078,"IL",0.0119,1.5789473684
62081,"IL",0.0355,1.5794606362
62082,"IL",0.2944,2.148727334
62092,"IL",0.305,1.7465688308
62098,"IL",0.0132,2.117414248
60407,"IL",0.1826,0.4333129798
60416,"IL",0.9165,0.7511226873
60424,"IL",0.2322,0.3623572759
60437,"IL",0.0164,0.5941076144
60444,"IL",0.189,0.4775418134
60447,"IL",1.3928,0.7304644474
60450,"IL",2.0522,0.8960057529
60474,"IL",0.0827,1.3631648936
60479,"IL",0.0728,0.6079867188
62817,"IL",0.0685,1.2465487897
62828,"IL",0.1399,1.2638443447
62829,"IL",0.0057,0.406671159
62859,"IL",0.5531,1.8039344107
62860,"IL",0.0541,1.8683472002
61450,"IL",0.1852,1.9452701333
62311,"IL",0.0795,2.4052405858
62313,"IL",0.0239,2.1097332065
62316,"IL",0.0729,1.1018571281
62321,"IL",0.3904,1.5270859238
62330,"IL",0.1766,1.6161128679
